#--- Experiment --------------------------------------------------------------------------																																				
#AE-399-2-Ch1																																				
#																																				
#--- System ------------------------------------------------------------------------------																																				
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com																																				
#IOMC368																																				
#--- Instrument --------------------------------------------------------------------------																																				
#Device: FireSting-O2 [A] FSO2-C2 SN:24110013 UiD:2411E508596FD85A Firmware:4.11 Build:001																																				
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [A Ch.1] - Oxygen Sensor - TD7-499-065 																																				
#--- Settings & Calibration --------------------------------------------------------------																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	30% (D)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Optical Temperature	20.000000	2	Internal Pressure Sensor	1013.000000	7.500000																
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																
#	29.11.2024	29.11.2024	6.158000	48.751000	0.827000	0.075000	470	-0.350000	0.874000	0.900000	0.000000	-0.000106	0.000000	0.000000	fixed f	1011.179000	23.736000	100.000000	22.496000	20.950000																
#--- Temperature Compensation Channel ----------------------------------------------------																																				
#Compensation Channel [A Ch.2] - Optical Temperature Sensor - DF7-321-538 																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	TRUE	TRUE	0	47	0	temperature	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																
#Calibration:	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																													
#	29.11.2024	321.000000	538.000000	0.097000	-7.743000	0.000000	0.000000																													
#--- Pressure Compensation Channel -------------------------------------------------------																																				
#Compensation Channel [A P1] - Internal Pressure Sensor																																				
#Settings: n/a																																				
#Calibration: n/a																																				
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [A Ch.2] - Optical Temperature Sensor - DF7-321-538 																																				
#--- Settings & Calibration --------------------------------------------------------------																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	TRUE	TRUE	0	47	0	temperature	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																
#Calibration:	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																													
#	29.11.2024	321.000000	538.000000	0.097000	-7.743000	0.000000	0.000000																													
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																				
#--- Measurement Data --------------------------------------------------------------------																																				
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%O2) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Optical Temp. (°C) [A Ch.1 CompT]	dphi (°) [A Ch.1 CompT]	Signal Intensity (mV) [A Ch.1 CompT]	Ambient Light (mV) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Optical Temp. (°C) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
05-12-2024	13:51:24.680	1.051	0.033072	47.928001	140	0	OK	05-12-2024	13:51:24.467	0.838	21.833	40.473	125	0	NotOK(5,5,5)	05-12-2024	13:51:24.680	1.051	1001	OK	05-12-2024	13:51:23.678	0.048	21.855	40.469	125	0	NotOK(5)	05-12-2024	13:51:23.663	0.033	NaN	NotOK(5)			
05-12-2024	13:51:26.666	3.036	0.033017	47.933998	140	0	OK	05-12-2024	13:51:26.467	2.838	21.791	40.481	125	0	NotOK(5,5,5)	05-12-2024	13:51:26.666	3.036	1001	OK	05-12-2024	13:51:25.683	2.054	21.833	40.473	125	0	NotOK(5)	05-12-2024	13:51:24.665	1.035	NaN	NotOK(5)			
05-12-2024	13:51:28.666	5.037	0.033110	47.936001	140	0	OK	05-12-2024	13:51:28.467	4.838	21.749	40.489	125	0	NotOK(5,5,5)	05-12-2024	13:51:28.666	5.037	1001	OK	05-12-2024	13:51:27.683	4.053	21.818	40.476	125	0	NotOK(5)	05-12-2024	13:51:25.666	2.036	NaN	NotOK(5)			
05-12-2024	13:51:30.667	7.037	0.033083	47.926998	140	0	OK	05-12-2024	13:51:30.470	6.841	21.839	40.472	125	0	NotOK(5,5,5)	05-12-2024	13:51:30.667	7.037	1001	OK	05-12-2024	13:51:29.686	6.056	21.781	40.483	125	0	NotOK(5)	05-12-2024	13:51:26.879	3.250	NaN	NotOK(5)			
05-12-2024	13:51:32.684	9.054	0.033311	47.924999	140	0	OK	05-12-2024	13:51:32.471	8.842	21.802	40.479	125	0	NotOK(5,5,5)	05-12-2024	13:51:32.684	9.054	1001	OK	05-12-2024	13:51:31.685	8.056	21.781	40.483	125	0	NotOK(5)	05-12-2024	13:51:27.666	4.036	NaN	NotOK(5)			
05-12-2024	13:51:34.691	11.061	0.033334	47.924999	140	0	OK	05-12-2024	13:51:34.471	10.841	21.796	40.480	125	0	NotOK(5,5,5)	05-12-2024	13:51:34.691	11.061	1001	OK	05-12-2024	13:51:33.688	10.058	21.802	40.479	125	0	NotOK(5)	05-12-2024	13:51:28.879	5.250	NaN	NotOK(5)			
05-12-2024	13:51:36.687	13.057	0.033207	47.930000	140	0	OK	05-12-2024	13:51:36.474	12.845	21.781	40.483	125	0	NotOK(5,5,5)	05-12-2024	13:51:36.687	13.057	1001	OK	05-12-2024	13:51:35.684	12.054	21.812	40.477	125	0	NotOK(5)	05-12-2024	13:51:29.669	6.039	NaN	NotOK(5)			
05-12-2024	13:51:38.687	15.058	0.033271	47.930000	140	0	OK	05-12-2024	13:51:38.474	14.845	21.765	40.486	125	0	NotOK(5,5,5)	05-12-2024	13:51:38.687	15.058	1001	OK	05-12-2024	13:51:37.685	14.056	21.796	40.480	125	0	NotOK(5)	05-12-2024	13:51:30.880	7.251	NaN	NotOK(5)			
05-12-2024	13:51:40.671	17.041	0.033003	47.931999	140	0	OK	05-12-2024	13:51:40.473	16.843	21.812	40.477	125	0	NotOK(5,5,5)	05-12-2024	13:51:40.671	17.041	1001	OK	05-12-2024	13:51:39.689	16.060	21.775	40.484	125	0	NotOK(5)	05-12-2024	13:51:31.668	8.039	NaN	NotOK(5)			
05-12-2024	13:51:42.672	19.042	0.033434	47.923000	140	0	OK	05-12-2024	13:51:42.471	18.842	21.791	40.481	125	0	NotOK(5,5,5)	05-12-2024	13:51:42.672	19.042	1001	OK	05-12-2024	13:51:41.689	18.060	21.765	40.486	125	0	NotOK(5)	05-12-2024	13:51:32.667	9.038	NaN	NotOK(5)			
05-12-2024	13:51:44.672	21.042	0.032884	47.933998	140	0	OK	05-12-2024	13:51:44.472	20.843	21.823	40.475	125	0	NotOK(5,5,5)	05-12-2024	13:51:44.672	21.042	1001	OK	05-12-2024	13:51:43.689	20.059	21.759	40.487	125	0	NotOK(5)	05-12-2024	13:51:33.670	10.040	NaN	NotOK(5)			
05-12-2024	13:51:46.673	23.043	0.032978	47.935001	140	0	OK	05-12-2024	13:51:46.472	22.843	21.791	40.481	125	0	NotOK(5,5,5)	05-12-2024	13:51:46.673	23.043	1001	OK	05-12-2024	13:51:45.689	22.059	21.759	40.487	125	0	NotOK(5)	05-12-2024	13:51:34.670	11.041	NaN	NotOK(5)			
05-12-2024	13:51:48.668	25.038	0.033177	47.928001	140	0	OK	05-12-2024	13:51:48.471	24.842	21.807	40.478	125	0	NotOK(5,5,5)	05-12-2024	13:51:48.668	25.038	1001	OK	05-12-2024	13:51:47.686	24.056	21.781	40.483	125	0	NotOK(5)	05-12-2024	13:51:35.669	12.039	NaN	NotOK(5)			
05-12-2024	13:51:50.671	27.042	0.033224	47.929001	140	0	OK	05-12-2024	13:51:50.473	26.843	21.786	40.482	125	0	NotOK(5,5,5)	05-12-2024	13:51:50.671	27.042	1001	OK	05-12-2024	13:51:49.692	26.063	21.802	40.479	125	0	NotOK(5)	05-12-2024	13:51:36.671	13.042	NaN	NotOK(5)			
05-12-2024	13:51:52.667	29.038	0.032998	47.935001	140	0	OK	05-12-2024	13:51:52.472	28.843	21.786	40.482	125	0	NotOK(5,5,5)	05-12-2024	13:51:52.667	29.038	1001	OK	05-12-2024	13:51:51.690	28.061	21.781	40.483	125	0	NotOK(5)	05-12-2024	13:51:37.669	14.039	NaN	NotOK(5)			
05-12-2024	13:51:54.670	31.040	0.033291	47.929001	140	0	OK	05-12-2024	13:51:54.473	30.844	21.770	40.485	125	0	NotOK(5,5,5)	05-12-2024	13:51:54.670	31.040	1001	OK	05-12-2024	13:51:53.694	30.064	21.812	40.477	125	0	NotOK(5)	05-12-2024	13:51:38.671	15.042	NaN	NotOK(5)			
05-12-2024	13:51:56.669	33.039	0.032971	47.933998	140	-1	OK	05-12-2024	13:51:56.472	32.843	21.802	40.479	125	0	NotOK(5,5,5)	05-12-2024	13:51:56.669	33.039	1001	OK	05-12-2024	13:51:55.695	32.066	21.781	40.483	125	0	NotOK(5)	05-12-2024	13:51:39.670	16.041	NaN	NotOK(5)			
05-12-2024	13:51:58.671	35.041	0.033349	47.928001	140	0	OK	05-12-2024	13:51:58.474	34.844	21.765	40.486	125	0	NotOK(5,5,5)	05-12-2024	13:51:58.671	35.041	1001	OK	05-12-2024	13:51:57.694	34.065	21.802	40.479	125	0	NotOK(5)	05-12-2024	13:51:40.886	17.257	NaN	NotOK(5)			
05-12-2024	13:52:00.672	37.042	0.033308	47.924000	140	0	OK	05-12-2024	13:52:00.475	36.846	21.812	40.477	125	0	NotOK(5,5,5)	05-12-2024	13:52:00.672	37.042	1001	OK	05-12-2024	13:51:59.694	36.064	21.839	40.472	125	0	NotOK(5)	05-12-2024	13:51:41.671	18.041	NaN	NotOK(5)			
